Ashkenazi,Sephardic,Mizrahi,Ethiopian Israelis
Rachel,Aljohar,Avigail,Lia
Elizabeth,Agnes,Miriam,Aida
Sarah,Aster,Esther,Nyala
Leah,Ayna,Rachel,Zala
Hannah,Barbara,Ezra,Mazaa
Elizabeth,Cidila,Shoshana,Kia
Abigail,Ela,Hannah,Marjani
Miriam,Ester,Rivka,Dani
Naomi,Izika,Sarah,Eshe
Esther,Ribeka,Dina,Kamali
