Ashkenazi,Sephardic,Mizrahi,Ethiopian Israelis
Noaj,Adolf,Shimon,Emanuel
Jacob,Amadio,Zecharya,Aaron
Jonathan,Benedikt,David,Abraham
Adam,Bernard,Moshe,Abel
Levi,Beuno,Yitzhak,Chinua
Samuel,Galaf,Isaac,Daniel
Benjamin,Desiderius,Zion,Jonathan
Caleb,Eduard,Avraham,Kaleb
Isaac,Jaco,Yona,Yonas
Aaron,Moshico,Eliyahu,Ephrem
